experiment,window_size,step,variant,seed,horizon,elapsed_s,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,cal_slope_mean,cal_slope_std,cal_intercept_mean,cal_intercept_std
E1,6,1,full,42,24,675.1,0.9098915157435888,0.002935418027330881,0.7107112871657085,0.010513697385753789,0.11374480463654399,0.004827180733722698,1.0067676552212406,0.0963334248803333,-1.5168411530674875,0.06342290966482482
E1,6,3,full,42,24,483.6,0.9086184096892371,0.0038962316882615975,0.7033657048372574,0.018153936401230343,0.11180781714021812,0.003369540208354687,1.0126721219238541,0.06031860094821009,-1.4813040838527387,0.02751452542055561
E1,6,6,full,42,24,381.8,0.9080055322503645,0.004521170627835306,0.699234373561691,0.021413029004696386,0.11208597195464307,0.004479368052377445,1.043343117029748,0.046044394810767254,-1.4934369724901617,0.05206058445687034
E1,12,1,full,42,24,518.2,0.9082792284728101,0.006208106380225418,0.7023197670972514,0.019821178699975694,0.11245006558067816,0.005353768458065097,0.9079346431228548,0.08986780047027292,-1.450893147389404,0.08637703918788522
E1,12,2,full,42,24,413.9,0.909623757480092,0.006751705060810759,0.7032481960465848,0.02172359102383681,0.11033848012502885,0.0052298559657463755,0.9352763223475348,0.09597550619105431,-1.447112635258579,0.04540035598607427
E1,12,3,full,42,24,390.8,0.9098390193599721,0.006196343138947393,0.7033525296848936,0.021289987567419923,0.11061454043693006,0.005672216758783275,0.9561972523235504,0.05099685547763052,-1.458286280036727,0.051723756145216654
E1,12,4,full,42,24,383.5,0.9099741938438664,0.007189342069682177,0.7030428842746161,0.02451798250409393,0.11071572970199546,0.005639760951094589,0.9605215527448584,0.05473593354666506,-1.4673156452608502,0.06323604628311988
E1,12,6,full,42,24,319.3,0.9084076604783974,0.00741966299523999,0.6981037715364072,0.024673262771356782,0.10943997794398438,0.0045198214848849935,0.9883734705839734,0.06748372101251199,-1.4495629812343236,0.031072380891581083
E1,18,1,full,42,24,412.5,0.907814531460813,0.006702184049677531,0.7000258738564724,0.022068769975878578,0.11008389891726958,0.004744958220283484,0.853436516171643,0.08604128554587757,-1.3984589280498527,0.06537689629864243
E1,18,3,full,42,24,324.5,0.9069209884329824,0.007311638841351095,0.6968490353961658,0.02475611900898615,0.11220227364037343,0.004654292721376013,0.9027209255179465,0.05786706566474253,-1.463683741484331,0.0576911184875536
E1,18,6,full,42,24,251.9,0.9031062199904504,0.007957041069249311,0.6882431034871297,0.0258285748119505,0.1136820537739838,0.0028600883342371807,0.963624315336031,0.07675216928904866,-1.4953754450417631,0.04073311920048273
E1,24,1,full,42,24,174.6,0.8843253148230561,0.008113249907942549,0.6469155722947946,0.02886371791535213,0.13036597712612222,0.004826648033999347,1.0265351583320004,0.0793117619685909,-1.5964880583182102,0.021003554118047833
E1b,6,1,full,1,24,4574.0,0.9090642699368979,0.0035052613179860333,0.7117132935415245,0.014085553321066988,0.11307751907145022,0.004176997432453473,0.9367657842631791,0.09580835478843905,-1.4818748549836225,0.08824142137926756
E1b,6,1,full,2,24,2816.2,0.9091070822558418,0.0036705239747388146,0.7114933068351192,0.011517257099038915,0.11431864871489086,0.005392224183400655,0.9730496852171167,0.10250434525996686,-1.5123414474759385,0.07128716744087123
E1b,6,1,full,3,24,3961.1,0.9109809202268899,0.005389924131547911,0.7186421058268301,0.021380765297718,0.11114231376465342,0.0036605755851331525,0.8957037105101655,0.09239752594908701,-1.4521171612368433,0.08382005285263781
E1b,6,1,full,4,24,3094.4,0.9082431053016634,0.004075240777133787,0.7100211347975012,0.01577158771675488,0.11484538244684628,0.0034038591015076933,0.94605562032369,0.08585960187416188,-1.5223081362921438,0.05516810010311197
