condition,seed,train_windows,positional_variety,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,cal_slope_mean,cal_slope_std,cal_intercept_mean,cal_intercept_std
A1,42,1,no,0.8774879713227606,0.00798003874907471,0.6227822514681688,0.0254153783407869,0.13922621603171742,0.0044950334707064745,1.1104131135150697,0.07374595048414664,-1.6567647297063768,0.006758343993526955
A1,1,1,no,0.8715540125726242,0.007309527771230513,0.5947303242588046,0.024471328235304488,0.1566715882500133,0.005097666454951379,1.0646586544680565,0.05645228774057558,-1.820550469397837,0.020165251022680512
A1,2,1,no,0.8669578646741636,0.0083912648456739,0.5961621285018333,0.026317111148517428,0.1468938541617297,0.005329023471421415,1.1109240754046659,0.0819386568438153,-1.6654821595762628,0.022029272314314965
A2,42,19,no,0.9011002447042348,0.005598991955973102,0.680981302178693,0.024335455178038357,0.11682373365242697,0.00513954465175471,0.8703919481158362,0.07179771721998875,-1.4614253164024074,0.054543242972439406
A2,1,19,no,0.9005149728385277,0.004056800332405491,0.6848762561387869,0.021256698698526717,0.12260541839265557,0.003627938085772464,0.8282439801121674,0.11377289040904043,-1.501344865900295,0.10958222691464066
A2,2,19,no,0.9008626153318943,0.005445128953943277,0.6797995299394224,0.02496886227966383,0.11670901206324165,0.004473297266943964,0.9000774948267317,0.09859926869953649,-1.4591364010639165,0.07807044176928901
