effect,n,seeds,auroc_full,auroc_reduced,diff,delong_p,p_adj,significant
Observation shortened to 6 h,15921,3,0.9115348167836098,0.8101143937575133,0.1014204230260965,5.158556880267795e-125,4.6427011922410154e-124,True
Observation shortened to 12 h,15921,3,0.9115348167836098,0.8419170099366327,0.0696178068469771,2.601640010906917e-78,1.0822479707357281e-77,True
Both pathways removed (Bi-GRU only),15921,5,0.912838091267234,0.8507759870387185,0.0620621042285155,3.6074932357857607e-78,1.0822479707357281e-77,True
Static pathway removed,15921,5,0.912838091267234,0.8520806498997866,0.0607574413674474,7.661150229426323e-78,1.7237588016209226e-77,True
Sequence encoder replaced by Transformer,15921,5,0.912838091267234,0.8681399355084947,0.044698155758739366,1.0583385114856197e-56,1.9050093206741155e-56,True
Sequence encoder replaced by Bi-LSTM,15921,5,0.912838091267234,0.8711246418749039,0.041713449392330126,1.969580840728581e-52,2.9543712610928714e-52,True
Augmentation removed (single window),15921,3,0.9115348167836098,0.8784495229290992,0.0330852938545106,8.082235950208116e-41,1.0391446221696147e-40,True
Positional variety removed (repeated window),15921,3,0.9115348167836098,0.9042987003444518,0.007236116439158,1.0147130564559721e-07,1.1415521885129686e-07,True
Convolutional block removed,15921,5,0.912838091267234,0.9143524601499056,-0.0015143688826716,0.0813587314995673,0.0813587314995673,False
