Model,auroc,auprc,brier,cal_slope,cal_intercept
Proposed model,0.9128380912672341,0.7185136580241649,0.11019839001576687,0.9978377271505555,-1.501807219087501
XGBoost,0.8836286590153541,0.6639139218471687,0.09636747325461477,1.1091407673590747,-0.8980857950362461
CatBoost,0.8856120401068371,0.6674851296212072,0.08454203489151511,0.8848977068139149,-0.4711400857206236
Bi-LSTM,0.871124641874904,0.644334039236503,0.13315362271874057,1.039728781147131,-1.5517829042328612
Transformer,0.8681399355084947,0.6392044851226929,0.1372315332000575,1.0657477933289838,-1.5655427520368872
First-day SOFA,0.6388628572356191,0.28218873719497256,,,
