fold,start,end,right_aligned,auroc,auprc,brier,cal_slope,cal_intercept
1,0,5,0,0.8965368975249177,0.677222672997873,0.12025402273970087,0.6942056231774448,-1.3760691786917385
1,1,6,0,0.8984328900964692,0.6806593453302381,0.11593737872960676,0.69515942403408,-1.3258757423554828
1,2,7,0,0.8977383789454104,0.6812941361569347,0.11398331881101097,0.6895205921559129,-1.288480968393448
1,3,8,0,0.9017186673314457,0.6893893417952923,0.11159233331735723,0.6987512632163441,-1.2662789601751343
1,4,9,0,0.90012228275371,0.6851960458570318,0.1110484056121614,0.6932178727259025,-1.2418209601388
1,5,10,0,0.9005972338482322,0.686031175167243,0.11086346710687472,0.6938104122756202,-1.2303491781072802
1,6,11,0,0.9020403838031766,0.6922443139801251,0.11059613353796423,0.6894240791192535,-1.21688722014319
1,7,12,0,0.9031801139577682,0.6903342675804116,0.10920735377001063,0.6921361462993671,-1.2030961611971924
1,8,13,0,0.9057553704542299,0.6978543028096764,0.10651787046287477,0.7027284024416376,-1.1958705152355689
1,9,14,0,0.9075194745195981,0.7003491385735757,0.10495192266907286,0.705990028109094,-1.184777868946287
1,10,15,0,0.9074432383888561,0.7001922057530906,0.10422783183673394,0.7029284465472729,-1.1855233030722434
1,11,16,0,0.9099197690960074,0.6993538303170654,0.10332004162259306,0.705193756968496,-1.175178543361858
1,12,17,0,0.908165194546982,0.6957743488331044,0.10411744274051697,0.6950277274768139,-1.1653545909775205
1,13,18,0,0.9077054906786083,0.6979979072689644,0.10524491674393245,0.6929320854124552,-1.1746701798430668
1,14,19,0,0.9067235693146525,0.7028179913488535,0.10428812787168576,0.6959884249618701,-1.1647597258311453
1,15,20,0,0.9064178624303775,0.7067136705606896,0.10467075489637476,0.7008446354420976,-1.1702263768204597
1,16,21,0,0.906311894208646,0.711274072147633,0.10386045572660867,0.707184005880302,-1.1793299238073573
1,17,22,0,0.9050936408393901,0.7074034787196315,0.10307789852385303,0.7061201957068722,-1.1738378267081866
1,18,23,1,0.9056051852766684,0.7086509558582367,0.10417760219962284,0.7018601232158997,-1.1738531914891401
2,0,5,0,0.8936811266486632,0.6882868594643181,0.13738617926555283,0.707822356978373,-1.5613115277305096
2,1,6,0,0.8948530001566063,0.6880861472822998,0.1339767683904512,0.7074768860976358,-1.5250041651338946
2,2,7,0,0.8962318995580647,0.689883700760947,0.1308670842159964,0.7098658773516497,-1.5030890478269172
